htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
uc1.32106019841920	Parliamentary debates (Hansard) v.336	New Zealand. Parliament	0000-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019841920
uc1.32106019740171	Parliamentary debates (Hansard) 1854-55	New Zealand. Parliament	1855-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019740171
uc1.32106019740189	Parliamentary debates (Hansard) 1856-58	New Zealand. Parliament	1858-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019740189
uc1.32106019740197	Parliamentary debates (Hansard) 1858-60	New Zealand. Parliament	1860-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019740197
uc1.32106019740205	Parliamentary debates (Hansard) 1861-63	New Zealand. Parliament	1863-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019740205
uc1.32106019740213	Parliamentary debates (Hansard) 1864-66	New Zealand. Parliament	1866-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019740213
uc1.32106019740221	Parliamentary debates (Hansard) v.1 pt.1 1867	New Zealand. Parliament	1867-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019740221
uc1.32106019740247	Parliamentary debates (Hansard) v.1 pt.2 1867	New Zealand. Parliament	1867-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019740247
uc1.32106019740239	Parliamentary debates (Hansard) v.2 1868	New Zealand. Parliament	1868-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019740239
uc1.32106019740270	Parliamentary debates (Hansard) v.5 1869	New Zealand. Parliament	1869-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019740270
uc1.32106015265777	Parliamentary debates (Hansard) v.7 1870	New Zealand. Parliament	1870-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106015265777
uc1.32106019740296	Parliamentary debates (Hansard) v.8 1870	New Zealand. Parliament	1870-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019740296
uc1.32106019740304	Parliamentary debates (Hansard) v.9 1870	New Zealand. Parliament	1870-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019740304
uc1.32106019740312	Parliamentary debates (Hansard) v.10 1871	New Zealand. Parliament	1871-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019740312
uc1.32106019740320	Parliamentary debates (Hansard) v.11 1871	New Zealand. Parliament	1871-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019740320
uc1.32106019740346	Parliamentary debates (Hansard) v.13 1872	New Zealand. Parliament	1872-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019740346
uc1.32106019740361	Parliamentary debates (Hansard) v.16 1874	New Zealand. Parliament	1874-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019740361
uc1.32106019787149	Parliamentary debates (Hansard) v.17 1875	New Zealand. Parliament	1875-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787149
uc1.32106019787164	Parliamentary debates (Hansard) v.19 1875	New Zealand. Parliament	1875-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787164
uc1.32106019787180	Parliamentary debates (Hansard) v.21 1876	New Zealand. Parliament	1876-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019787180
